article_id,manual_sentiment,manual_category
N025172,neutral,ma_ownership
N033590,neutral,earnings
N047188,neutral,project_contract
N001008,neutral,other
N053548,neutral,other
N004823,neutral,ma_ownership
N037048,neutral,other
N048892,neutral,other
N006367,neutral,other
N046143,neutral,market_industry
N031809,neutral,other
N021977,neutral,other
N043681,neutral,other
N008174,neutral,earnings
N019216,neutral,other
N031634,neutral,other
N021079,neutral,capital_issuance
N008029,neutral,other
N044115,neutral,leadership
N053916,neutral,leadership
N034613,neutral,ma_ownership
N024037,neutral,other
N016965,neutral,ma_ownership
N053229,neutral,debt_bond
N019316,neutral,other
N022787,neutral,earnings
N050680,neutral,capital_issuance
N031258,neutral,leadership
N021448,negative,other
N002461,neutral,other
N039494,neutral,legal_regulatory
N043066,neutral,ma_ownership
N053457,neutral,other
N028881,neutral,earnings
N013840,neutral,project_contract
N007677,neutral,earnings
N034979,neutral,earnings
N048570,neutral,other
N009215,neutral,capital_issuance
N001747,neutral,earnings
N039935,neutral,legal_regulatory
N026239,neutral,other
N020583,neutral,other
N048446,neutral,capital_issuance
N052588,neutral,capital_issuance
N043253,neutral,other
N034724,neutral,earnings
N018070,neutral,ma_ownership
N045477,positive,project_contract
N022305,neutral,other
N031086,neutral,ma_ownership
N029207,neutral,other
N007545,negative,legal_regulatory
N040947,neutral,other
N028250,neutral,earnings
N008165,neutral,ma_ownership
N012357,positive,market_industry
N001316,neutral,other
N016947,neutral,other
N016348,neutral,other
N017605,neutral,earnings
N043231,neutral,debt_bond
N026854,neutral,other
N046741,positive,other
N017849,neutral,other
N008811,neutral,other
N029500,neutral,other
N049827,negative,legal_regulatory
N054293,neutral,other
N018051,neutral,leadership
N039628,neutral,market_industry
N040508,neutral,other
N050791,negative,legal_regulatory
N032493,neutral,other
N055197,neutral,leadership
N007661,neutral,earnings
N047346,neutral,other
N032286,neutral,ma_ownership
N005722,neutral,other
N040708,neutral,other
N050471,neutral,earnings
N026882,neutral,other
N054863,neutral,capital_issuance
N018137,neutral,leadership
N011237,neutral,market_industry
N007507,neutral,other
N042878,neutral,earnings
N014450,neutral,ma_ownership
N037098,neutral,other
N041717,neutral,other
N047341,positive,project_contract
N032529,neutral,ma_ownership
N019375,neutral,other
N003909,neutral,other
N040573,neutral,other
N047678,neutral,other
N019436,negative,legal_regulatory
N033051,neutral,other
N027904,neutral,other
N041101,neutral,other
N042581,neutral,other
N007046,neutral,other
N003483,neutral,other
N005600,neutral,legal_regulatory
N016158,neutral,other
N006857,neutral,other
N022334,neutral,other
N027380,neutral,other
N004725,neutral,other
N030637,neutral,other
N040528,neutral,ma_ownership
N010474,neutral,market_industry
N048363,neutral,earnings
N016439,neutral,other
N006508,neutral,other
N030935,neutral,other
N042730,neutral,earnings
N029628,neutral,other
N014269,neutral,other
N008250,neutral,ma_ownership
N049001,neutral,earnings
N018274,neutral,ma_ownership
N013053,neutral,earnings
N046259,neutral,other
N025366,neutral,other
N021781,neutral,other
N028407,neutral,other
N052183,neutral,other
N012071,negative,market_industry
N019820,neutral,market_industry
N021650,neutral,legal_regulatory
N015540,neutral,other
N051624,neutral,ma_ownership
N002489,neutral,other
N017583,neutral,project_contract
N022666,neutral,other
N015523,neutral,other
N043822,neutral,other
N031856,neutral,other
N028037,neutral,other
N022265,neutral,debt_bond
N036571,negative,legal_regulatory
N040796,neutral,earnings
N005091,neutral,market_industry
N042425,neutral,earnings
N024347,neutral,other
N034091,neutral,earnings
N023678,neutral,ma_ownership
N012367,neutral,other
N029282,neutral,ma_ownership
N009995,neutral,other
N012064,neutral,other
N004786,neutral,other
N024304,neutral,market_industry
N039422,negative,market_industry
N053124,neutral,other
N015641,neutral,ma_ownership
N051520,neutral,other
N024711,neutral,other
N052068,neutral,ma_ownership
N017910,negative,market_industry
N030172,neutral,other
N031408,neutral,legal_regulatory
N017437,neutral,ma_ownership
N020956,neutral,ma_ownership
N031121,neutral,ma_ownership
N042407,neutral,capital_issuance
N051573,neutral,other
N013889,neutral,other
N019114,neutral,other
N014881,neutral,earnings
N011505,neutral,ma_ownership
N052022,neutral,market_industry
N050385,neutral,earnings
N022040,neutral,other
N055295,neutral,ma_ownership
N039503,neutral,market_industry
N011134,neutral,ma_ownership
N040897,neutral,earnings
N026850,positive,project_contract
N046685,neutral,other
N039825,neutral,other
N028756,neutral,other
N011261,positive,market_industry
N046212,positive,project_contract
N026605,neutral,ma_ownership
N009366,neutral,ma_ownership
N016791,neutral,other
N020699,neutral,other
N013945,neutral,earnings
N030780,neutral,market_industry
N034851,neutral,earnings
N010935,neutral,other
N038935,neutral,debt_bond
N010539,negative,market_industry
N002472,neutral,other
N041285,neutral,other
N003639,neutral,ma_ownership
N013699,neutral,other
N051141,neutral,other
N001480,neutral,earnings
N009939,positive,market_industry
N046588,negative,market_industry
N045875,positive,market_industry
N003954,neutral,other
N048677,neutral,market_industry
N008076,neutral,earnings
N012168,neutral,ma_ownership
N055085,neutral,debt_bond
N027029,neutral,earnings
N009173,neutral,ma_ownership
N008373,neutral,earnings
N053154,neutral,other
N055194,neutral,other
N018691,neutral,ma_ownership
N005887,neutral,ma_ownership
N007405,neutral,market_industry
N028293,neutral,earnings
N007430,neutral,ma_ownership
N014218,neutral,earnings
N033156,neutral,other
N034146,neutral,other
N055047,neutral,other
N034901,neutral,earnings
N013181,neutral,other
N049598,positive,earnings
N050031,neutral,earnings
N050624,neutral,earnings
N049403,neutral,ma_ownership
N048629,neutral,other
N014336,neutral,earnings
N016836,neutral,legal_regulatory
N001001,neutral,other
N005480,neutral,other
N006046,neutral,ma_ownership
N041460,neutral,other
N048468,neutral,earnings
N042946,neutral,debt_bond
N042947,neutral,other
N042948,neutral,other
N042949,neutral,leadership
N042950,neutral,other
N042951,neutral,other
N042952,neutral,earnings
N042953,neutral,debt_bond
N042954,neutral,earnings
N042955,neutral,debt_bond
N042957,positive,earnings
N042958,positive,earnings
N042959,neutral,earnings
N042960,neutral,earnings
N042961,neutral,earnings
N042962,neutral,earnings
N042963,neutral,other
N042964,neutral,other
N042965,neutral,capital_issuance
N042966,negative,legal_regulatory
N042967,neutral,debt_bond
N042968,positive,project_contract
N042969,positive,project_contract
N042970,neutral,market_industry
N042974,positive,earnings
N042975,positive,earnings
N042976,neutral,project_contract
N042979,neutral,earnings
N042981,neutral,debt_bond
N042982,neutral,debt_bond
N042989,neutral,other
N042990,neutral,other
N042994,neutral,other
N042995,neutral,other
N042996,neutral,leadership
N042998,neutral,other
N042999,neutral,other
N043000,neutral,debt_bond
N043001,neutral,other
N043002,neutral,other
N043004,neutral,dividend
N043005,neutral,dividend
N043006,neutral,earnings
N043008,positive,earnings
N043009,positive,earnings
N043010,neutral,earnings
N043011,neutral,earnings
N043016,neutral,earnings
N043017,neutral,earnings
N043018,neutral,earnings
N043019,neutral,debt_bond
N043020,neutral,earnings
N043021,neutral,earnings
N043022,neutral,other
N043023,negative,legal_regulatory
N043028,neutral,other
N043035,neutral,earnings
N043036,neutral,debt_bond
N043037,neutral,earnings
N043038,neutral,leadership
N043039,neutral,earnings
N043040,neutral,leadership
N043043,neutral,other
N043044,neutral,leadership
N043045,neutral,capital_issuance
N043046,neutral,other
N043047,positive,earnings
N043051,negative,leadership
N043052,negative,leadership
N043053,neutral,ma_ownership
N043054,neutral,ma_ownership
N043055,neutral,capital_issuance
N043056,neutral,earnings
N043057,neutral,earnings
N043058,neutral,debt_bond
N043059,neutral,leadership
N043060,neutral,leadership
N043061,neutral,other
N043062,neutral,ma_ownership
N043063,neutral,earnings
N043064,neutral,ma_ownership
N043065,neutral,other
N043067,negative,legal_regulatory
N043068,negative,legal_regulatory
N043069,neutral,earnings
N043070,neutral,debt_bond
N043076,neutral,leadership
N043078,neutral,market_industry
N043079,negative,market_industry
N043080,neutral,other
N043081,neutral,earnings
N043082,neutral,debt_bond
N043083,neutral,other
N043088,negative,market_industry
N043091,neutral,other
N043092,neutral,market_industry
N043103,neutral,leadership
N043104,negative,market_industry
N043107,neutral,leadership
N043108,neutral,other
N043111,neutral,ma_ownership
N043112,neutral,leadership
N043113,neutral,debt_bond
N043114,neutral,leadership
N043115,neutral,debt_bond
N043116,neutral,other
N043117,neutral,other
N043118,negative,earnings
N043123,negative,legal_regulatory
N043124,negative,legal_regulatory
N043128,positive,earnings
N043132,neutral,other
N043133,neutral,leadership
N043134,neutral,other
N043135,neutral,leadership
N043138,neutral,ma_ownership
N043139,neutral,ma_ownership
N043140,neutral,ma_ownership
N043141,neutral,earnings
N043142,neutral,earnings
N043143,neutral,earnings
N043144,neutral,earnings
N043145,neutral,project_contract
N043146,neutral,earnings
N043148,neutral,other
N043149,neutral,other
N043150,neutral,leadership
N043151,neutral,leadership
N043153,neutral,leadership
N043154,neutral,earnings
N043155,neutral,leadership
N043158,negative,dividend
N043159,neutral,other
N043163,neutral,dividend
N043164,neutral,earnings
N043165,neutral,earnings
N043166,negative,legal_regulatory
N043168,neutral,earnings
N043169,neutral,other
N043170,neutral,leadership
N043178,neutral,earnings
N043544,negative,legal_regulatory
N043560,neutral,other
N043693,neutral,dividend
N043749,neutral,dividend
N044088,neutral,earnings
N044089,neutral,earnings
N044090,neutral,leadership
N044135,neutral,other
N044242,neutral,other
N044243,neutral,other
N044471,neutral,earnings
N044472,neutral,earnings
N044473,neutral,earnings
N044474,neutral,earnings
N044596,neutral,leadership
N044760,neutral,earnings
N047838,positive,project_contract
N047839,positive,project_contract
N047884,positive,project_contract
N047885,neutral,other
N047897,positive,market_industry
N047925,positive,earnings
N047926,neutral,earnings
N047927,neutral,earnings
N047954,neutral,other
N047955,neutral,debt_bond
N047956,neutral,earnings
N047987,neutral,leadership
N048064,neutral,other
N048088,neutral,other
N048195,neutral,other
N048225,negative,ma_ownership
N048399,neutral,earnings
N048400,neutral,earnings
N048401,neutral,earnings
N048610,neutral,other
N049392,neutral,other
N049393,neutral,other
N049394,neutral,market_industry
N049395,neutral,market_industry
N049472,neutral,capital_issuance
N049473,neutral,capital_issuance
N049482,neutral,debt_bond
N049535,neutral,debt_bond
N049536,neutral,debt_bond
N049537,positive,other
N049541,positive,market_industry
N049542,positive,market_industry
N049554,neutral,market_industry
N049561,neutral,debt_bond
N049564,neutral,market_industry
N049574,neutral,ma_ownership
N049575,neutral,ma_ownership
N049576,neutral,ma_ownership
N049577,neutral,ma_ownership
N049582,positive,market_industry
N051781,neutral,project_contract
N054957,neutral,project_contract
N003977,neutral,earnings
N032939,neutral,earnings
N003391,neutral,leadership
N032549,neutral,debt_bond
N020987,neutral,earnings
N015937,neutral,earnings
N016435,neutral,earnings
N045748,neutral,other
N013083,neutral,ma_ownership
N015168,neutral,leadership
N044379,neutral,legal_regulatory
N011911,neutral,debt_bond
N038771,neutral,other
N022180,neutral,other
N032118,neutral,leadership
N002600,neutral,ma_ownership
N046388,neutral,market_industry
N017646,neutral,other
N054883,neutral,other
N035334,neutral,earnings
N051581,neutral,market_industry
N031189,neutral,market_industry
N007452,neutral,capital_issuance
N019577,neutral,ma_ownership
N024831,negative,dividend
N009299,neutral,capital_issuance
N053745,neutral,ma_ownership
N015259,neutral,other
N014022,neutral,other
N003039,neutral,other
N035694,neutral,other
N040823,negative,legal_regulatory
N013455,neutral,debt_bond
N044867,neutral,project_contract
N025129,neutral,other
N054954,neutral,ma_ownership
N018132,neutral,other
N046549,neutral,debt_bond
N010078,neutral,earnings
N011358,neutral,capital_issuance
N046911,neutral,earnings
N016100,neutral,other
N045680,neutral,ma_ownership
N016140,neutral,earnings
N007468,neutral,other
N054554,neutral,project_contract
N004058,neutral,ma_ownership
N001111,neutral,ma_ownership
N041383,neutral,other
N033791,neutral,leadership
N023721,neutral,ma_ownership
N040472,neutral,other
N040208,neutral,debt_bond
N034365,neutral,debt_bond
N055046,positive,other
N025099,neutral,other
N025153,neutral,leadership
N022639,neutral,debt_bond
N037419,neutral,other
N049376,neutral,other
N016738,negative,earnings
N012261,neutral,leadership
N007759,neutral,ma_ownership
N034731,neutral,earnings
N046057,neutral,dividend
N007049,neutral,earnings
N044956,neutral,ma_ownership
N005267,neutral,leadership
N049483,negative,market_industry
N008677,neutral,legal_regulatory
N027100,neutral,earnings
N046990,neutral,debt_bond
N041812,neutral,leadership
N052749,neutral,other
N048424,neutral,other
N011180,neutral,debt_bond
N030151,neutral,debt_bond
N047107,neutral,dividend
N016339,neutral,earnings
N046993,neutral,other
N008905,positive,earnings
N016477,neutral,dividend
N022252,neutral,market_industry
N046292,neutral,other
N046082,neutral,earnings
N001047,neutral,earnings
N007365,neutral,leadership
N044109,neutral,other
N006129,neutral,other
N037157,negative,ma_ownership
N027763,neutral,earnings
N001293,negative,leadership
N049566,neutral,dividend
N007178,positive,market_industry
N020700,positive,earnings
N012805,positive,earnings
N053942,neutral,debt_bond
N044591,neutral,earnings
N036359,neutral,market_industry
N002758,neutral,ma_ownership
N026481,neutral,leadership
N040356,neutral,earnings
N022103,neutral,dividend
N046647,neutral,debt_bond
N000987,neutral,capital_issuance
N014074,neutral,debt_bond
N021037,neutral,ma_ownership
N009402,neutral,project_contract
N036801,neutral,leadership
N034366,neutral,debt_bond
N051967,positive,market_industry
N020319,neutral,dividend
N042812,neutral,other
N000832,neutral,other
N051846,neutral,ma_ownership
N005897,neutral,leadership
N038142,neutral,ma_ownership
N054298,neutral,debt_bond
N052508,neutral,earnings
N020458,neutral,capital_issuance
N032325,neutral,other
N003699,neutral,earnings
N035628,neutral,dividend
N051348,neutral,debt_bond
N046251,neutral,leadership
N008695,neutral,ma_ownership
N027112,neutral,other
N001245,neutral,earnings
N042457,neutral,earnings
N042814,positive,earnings
N045797,neutral,market_industry
N046323,negative,market_industry
N045255,neutral,debt_bond
N006790,positive,earnings
N027995,neutral,ma_ownership
N016202,neutral,earnings
N044081,negative,leadership
N028930,neutral,other
N030105,neutral,leadership
N044763,neutral,dividend
N004661,neutral,capital_issuance
N039712,neutral,other
N052331,neutral,other
N005789,neutral,ma_ownership
N023918,neutral,debt_bond
N054547,neutral,earnings
N053372,neutral,ma_ownership
N024727,neutral,other
N018861,neutral,capital_issuance
N038487,neutral,leadership
N010453,neutral,capital_issuance
N000450,negative,legal_regulatory
N000451,neutral,leadership
N000452,neutral,earnings
N000453,neutral,earnings
N000454,neutral,earnings
N000455,neutral,leadership
N000456,neutral,earnings
N000457,neutral,market_industry
N000459,neutral,other
N000460,neutral,ma_ownership
N000461,neutral,ma_ownership
N000462,neutral,ma_ownership
N000463,neutral,leadership
N000464,neutral,other
N000465,neutral,earnings
N000466,neutral,earnings
N000467,neutral,ma_ownership
N000468,neutral,other
N000469,neutral,market_industry
N000471,neutral,capital_issuance
N000472,neutral,earnings
N000473,neutral,earnings
N000474,neutral,leadership
N000475,neutral,earnings
N000476,neutral,capital_issuance
N000478,neutral,leadership
N000479,neutral,leadership
N000481,neutral,earnings
N000482,neutral,earnings
N000483,neutral,earnings
N000484,neutral,earnings
N000485,neutral,earnings
N000486,neutral,earnings
N000487,neutral,earnings
N000488,neutral,leadership
N000489,neutral,ma_ownership
N000490,neutral,earnings
N000491,neutral,earnings
N000492,neutral,earnings
N000493,neutral,earnings
N000494,neutral,project_contract
N000496,neutral,earnings
N000497,neutral,earnings
N000498,neutral,earnings
N000499,neutral,earnings
N000500,neutral,ma_ownership
N000501,neutral,ma_ownership
N000503,neutral,earnings
N000504,neutral,earnings
N000505,neutral,earnings
N000506,neutral,leadership
N000507,neutral,other
N000509,neutral,earnings
N000510,neutral,earnings
N000511,neutral,earnings
N000512,neutral,earnings
N000513,neutral,debt_bond
N000514,neutral,ma_ownership
N000516,neutral,ma_ownership
N000517,neutral,earnings
N000518,neutral,earnings
N000519,neutral,earnings
N000520,neutral,debt_bond
N000521,neutral,market_industry
N000522,neutral,other
N000523,neutral,earnings
