snapshot_id,article_id,published_date,event_trading_date,category,general_sentiment,n_mapped_tickers,target_count,num_nodes,num_node_features,num_edges,num_edges_price_correlation,num_edges_parent_to_subsidiary,num_edges_subsidiary_to_parent,num_edges_same_group,num_edges_same_industry,num_edges_news_co_mention,label_horizon,lookback_returns,corr_lookback
20,N012101,2023-01-06,2023-01-06,debt_bond,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
21,N012102,2023-01-06,2023-01-06,debt_bond,0.3333333333333333,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
22,N012103,2023-01-06,2023-01-06,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
23,N012104,2023-01-06,2023-01-06,leadership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
24,N012105,2023-01-06,2023-01-06,leadership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
25,N012106,2023-01-06,2023-01-06,ma_ownership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
26,N012107,2023-01-06,2023-01-06,project_contract,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
27,N012108,2023-01-06,2023-01-06,leadership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
28,N012109,2023-01-06,2023-01-06,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
29,N012110,2023-01-06,2023-01-06,leadership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
30,N012111,2023-01-06,2023-01-06,leadership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
31,N012112,2023-01-06,2023-01-06,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
32,N012113,2023-01-06,2023-01-06,other,0.0,2,2,118,59,14338,12938,3,3,50,1342,2,5,20,252
33,N012114,2023-01-06,2023-01-06,ma_ownership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
34,N012115,2023-01-06,2023-01-06,leadership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
35,N012116,2023-01-06,2023-01-06,leadership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
36,N012117,2023-01-06,2023-01-06,ma_ownership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
37,N012118,2023-01-07,2023-01-09,market_industry,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
38,N012119,2023-01-07,2023-01-09,earnings,0.3333333333333333,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
39,N012120,2023-01-07,2023-01-09,other,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
40,N012121,2023-01-07,2023-01-09,market_industry,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
41,N012122,2023-01-08,2023-01-09,ma_ownership,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
42,N012123,2023-01-09,2023-01-09,earnings,0.3333333333333333,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
43,N012124,2023-01-09,2023-01-09,other,0.0,2,2,118,59,14328,12928,3,3,50,1342,2,5,20,252
44,N012125,2023-01-09,2023-01-09,earnings,0.3333333333333333,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
45,N012126,2023-01-09,2023-01-09,earnings,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
46,N012127,2023-01-09,2023-01-09,dividend,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
47,N012128,2023-01-09,2023-01-09,dividend,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
48,N012129,2023-01-09,2023-01-09,leadership,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
49,N012130,2023-01-09,2023-01-09,other,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
50,N012131,2023-01-09,2023-01-09,leadership,-0.3333333333333333,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
51,N012132,2023-01-09,2023-01-09,other,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
52,N012133,2023-01-09,2023-01-09,dividend,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
53,N012134,2023-01-09,2023-01-09,other,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
54,N012135,2023-01-09,2023-01-09,other,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
55,N012136,2023-01-09,2023-01-09,other,0.0,3,3,118,59,14332,12928,3,3,50,1342,6,5,20,252
56,N012137,2023-01-09,2023-01-09,other,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
57,N012138,2023-01-09,2023-01-09,other,0.0,3,3,118,59,14332,12928,3,3,50,1342,6,5,20,252
58,N012139,2023-01-09,2023-01-09,other,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
59,N012140,2023-01-09,2023-01-09,other,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
60,N012141,2023-01-09,2023-01-09,other,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
61,N012142,2023-01-09,2023-01-09,other,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
62,N012143,2023-01-09,2023-01-09,leadership,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
63,N012144,2023-01-09,2023-01-09,other,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
64,N012145,2023-01-09,2023-01-09,other,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
65,N012146,2023-01-09,2023-01-09,earnings,0.6666666666666666,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
66,N012147,2023-01-09,2023-01-09,other,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
67,N012148,2023-01-09,2023-01-09,other,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
68,N012149,2023-01-09,2023-01-09,other,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
69,N012150,2023-01-09,2023-01-09,other,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
70,N012151,2023-01-09,2023-01-09,earnings,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
71,N012152,2023-01-09,2023-01-09,market_industry,0.0,1,1,118,59,14326,12928,3,3,50,1342,0,5,20,252
72,N012153,2023-01-10,2023-01-10,other,0.3333333333333333,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
73,N012154,2023-01-10,2023-01-10,earnings,0.3333333333333333,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
74,N012155,2023-01-10,2023-01-10,leadership,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
75,N012156,2023-01-10,2023-01-10,leadership,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
76,N012157,2023-01-10,2023-01-10,earnings,0.3333333333333333,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
77,N012158,2023-01-10,2023-01-10,ma_ownership,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
78,N012159,2023-01-10,2023-01-10,leadership,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
79,N012160,2023-01-10,2023-01-10,other,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
80,N012161,2023-01-10,2023-01-10,other,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
81,N012162,2023-01-10,2023-01-10,other,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
82,N012163,2023-01-10,2023-01-10,ma_ownership,-0.3333333333333333,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
83,N012164,2023-01-10,2023-01-10,other,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
84,N012165,2023-01-10,2023-01-10,other,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
85,N012166,2023-01-10,2023-01-10,other,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
86,N012167,2023-01-10,2023-01-10,leadership,0.0,2,2,118,59,14332,12932,3,3,50,1342,2,5,20,252
87,N012168,2023-01-10,2023-01-10,ma_ownership,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
88,N012169,2023-01-10,2023-01-10,other,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
89,N012170,2023-01-10,2023-01-10,other,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
90,N012171,2023-01-10,2023-01-10,other,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
91,N012172,2023-01-10,2023-01-10,other,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
92,N012173,2023-01-10,2023-01-10,other,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
93,N012174,2023-01-10,2023-01-10,leadership,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
94,N012175,2023-01-10,2023-01-10,other,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
95,N012176,2023-01-10,2023-01-10,earnings,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
96,N012177,2023-01-10,2023-01-10,market_industry,-0.3333333333333333,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
97,N012178,2023-01-10,2023-01-10,other,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
98,N012179,2023-01-10,2023-01-10,other,0.0,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
99,N012180,2023-01-10,2023-01-10,capital_issuance,0.3333333333333333,1,1,118,59,14330,12932,3,3,50,1342,0,5,20,252
100,N012181,2023-01-10,2023-01-10,leadership,0.0,2,2,118,59,14332,12932,3,3,50,1342,2,5,20,252
101,N012182,2023-01-11,2023-01-11,other,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
102,N012183,2023-01-11,2023-01-11,other,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
103,N012184,2023-01-11,2023-01-11,other,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
104,N012185,2023-01-11,2023-01-11,ma_ownership,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
105,N012186,2023-01-11,2023-01-11,other,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
106,N012187,2023-01-11,2023-01-11,other,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
107,N012188,2023-01-11,2023-01-11,other,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
108,N012189,2023-01-11,2023-01-11,other,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
109,N012190,2023-01-11,2023-01-11,earnings,-0.3333333333333333,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
110,N012191,2023-01-11,2023-01-11,leadership,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
111,N012192,2023-01-11,2023-01-11,other,0.0,2,2,118,59,14336,12936,3,3,50,1342,2,5,20,252
112,N012193,2023-01-11,2023-01-11,leadership,0.0,2,2,118,59,14336,12936,3,3,50,1342,2,5,20,252
113,N012194,2023-01-11,2023-01-11,other,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
114,N012195,2023-01-11,2023-01-11,ma_ownership,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
115,N012196,2023-01-11,2023-01-11,other,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
116,N012197,2023-01-11,2023-01-11,leadership,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
117,N012198,2023-01-11,2023-01-11,debt_bond,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
118,N012199,2023-01-11,2023-01-11,debt_bond,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
119,N012200,2023-01-11,2023-01-11,other,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
120,N012201,2023-01-11,2023-01-11,other,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
121,N012202,2023-01-11,2023-01-11,other,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
122,N012203,2023-01-11,2023-01-11,leadership,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
123,N012204,2023-01-11,2023-01-11,other,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
124,N012205,2023-01-11,2023-01-11,other,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
125,N012206,2023-01-11,2023-01-11,market_industry,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
126,N012207,2023-01-11,2023-01-11,leadership,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
127,N012208,2023-01-11,2023-01-11,leadership,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
128,N012209,2023-01-11,2023-01-11,leadership,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
129,N012210,2023-01-11,2023-01-11,other,0.0,2,2,118,59,14336,12936,3,3,50,1342,2,5,20,252
130,N012211,2023-01-11,2023-01-11,leadership,0.0,2,2,118,59,14336,12936,3,3,50,1342,2,5,20,252
131,N012212,2023-01-11,2023-01-11,other,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
132,N012213,2023-01-11,2023-01-11,other,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
133,N012214,2023-01-11,2023-01-11,other,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
134,N012215,2023-01-11,2023-01-11,leadership,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
135,N012216,2023-01-11,2023-01-11,other,0.0,1,1,118,59,14334,12936,3,3,50,1342,0,5,20,252
136,N012217,2023-01-12,2023-01-12,other,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
137,N012218,2023-01-12,2023-01-12,ma_ownership,0.3333333333333333,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
138,N012219,2023-01-12,2023-01-12,other,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
139,N012220,2023-01-12,2023-01-12,other,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
140,N012221,2023-01-12,2023-01-12,other,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
141,N012222,2023-01-12,2023-01-12,other,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
142,N012223,2023-01-12,2023-01-12,leadership,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
143,N012224,2023-01-12,2023-01-12,other,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
144,N012225,2023-01-12,2023-01-12,other,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
145,N012226,2023-01-12,2023-01-12,other,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
146,N012227,2023-01-12,2023-01-12,ma_ownership,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
147,N012228,2023-01-12,2023-01-12,other,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
148,N012229,2023-01-12,2023-01-12,other,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
149,N012230,2023-01-12,2023-01-12,other,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
150,N012231,2023-01-12,2023-01-12,other,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
151,N012232,2023-01-12,2023-01-12,other,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
152,N012233,2023-01-12,2023-01-12,debt_bond,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
153,N012234,2023-01-12,2023-01-12,other,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
154,N012235,2023-01-12,2023-01-12,project_contract,0.3333333333333333,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
155,N012236,2023-01-12,2023-01-12,other,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
156,N012237,2023-01-12,2023-01-12,leadership,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
157,N012238,2023-01-12,2023-01-12,ma_ownership,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
158,N012239,2023-01-12,2023-01-12,other,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
159,N012240,2023-01-12,2023-01-12,other,0.0,1,1,118,59,14328,12930,3,3,50,1342,0,5,20,252
160,N012241,2023-01-13,2023-01-13,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
161,N012242,2023-01-13,2023-01-13,leadership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
162,N012243,2023-01-13,2023-01-13,leadership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
163,N012244,2023-01-13,2023-01-13,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
164,N012245,2023-01-13,2023-01-13,earnings,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
165,N012246,2023-01-13,2023-01-13,earnings,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
166,N012247,2023-01-13,2023-01-13,dividend,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
167,N012248,2023-01-13,2023-01-13,debt_bond,-0.3333333333333333,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
168,N012249,2023-01-13,2023-01-13,debt_bond,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
169,N012250,2023-01-13,2023-01-13,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
170,N012251,2023-01-13,2023-01-13,leadership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
171,N012252,2023-01-13,2023-01-13,legal_regulatory,-0.6666666666666666,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
172,N012253,2023-01-13,2023-01-13,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
173,N012254,2023-01-13,2023-01-13,other,0.0,2,2,118,59,14338,12938,3,3,50,1342,2,5,20,252
174,N012255,2023-01-13,2023-01-13,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
175,N012256,2023-01-13,2023-01-13,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
176,N012257,2023-01-13,2023-01-13,other,0.0,3,3,118,59,14342,12938,3,3,50,1342,6,5,20,252
177,N012258,2023-01-13,2023-01-13,other,0.0,4,4,118,59,14348,12938,3,3,50,1342,12,5,20,252
178,N012259,2023-01-13,2023-01-13,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
179,N012260,2023-01-13,2023-01-13,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
180,N012261,2023-01-13,2023-01-13,leadership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
181,N012262,2023-01-13,2023-01-13,leadership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
182,N012263,2023-01-13,2023-01-13,leadership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
183,N012264,2023-01-13,2023-01-13,leadership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
184,N012265,2023-01-13,2023-01-13,leadership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
185,N012266,2023-01-13,2023-01-13,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
186,N012267,2023-01-13,2023-01-13,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
187,N012268,2023-01-13,2023-01-13,capital_issuance,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
188,N012269,2023-01-13,2023-01-13,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
189,N012270,2023-01-13,2023-01-13,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
190,N012271,2023-01-13,2023-01-13,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
191,N012272,2023-01-13,2023-01-13,capital_issuance,0.3333333333333333,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
192,N012273,2023-01-13,2023-01-13,other,0.0,4,4,118,59,14348,12938,3,3,50,1342,12,5,20,252
193,N012274,2023-01-13,2023-01-13,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
194,N012275,2023-01-13,2023-01-13,other,0.0,3,3,118,59,14342,12938,3,3,50,1342,6,5,20,252
195,N012276,2023-01-13,2023-01-13,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
196,N012277,2023-01-13,2023-01-13,leadership,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
197,N012278,2023-01-13,2023-01-13,other,0.0,1,1,118,59,14336,12938,3,3,50,1342,0,5,20,252
198,N012279,2023-01-14,2023-01-16,market_industry,0.3333333333333333,2,2,118,59,14344,12944,3,3,50,1342,2,5,20,252
199,N012280,2023-01-14,2023-01-16,earnings,0.3333333333333333,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
200,N012281,2023-01-14,2023-01-16,debt_bond,-0.6666666666666666,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
201,N012282,2023-01-14,2023-01-16,other,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
202,N012283,2023-01-14,2023-01-16,market_industry,0.3333333333333333,2,2,118,59,14344,12944,3,3,50,1342,2,5,20,252
203,N012284,2023-01-15,2023-01-16,leadership,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
204,N012285,2023-01-16,2023-01-16,legal_regulatory,-0.6666666666666666,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
205,N012286,2023-01-16,2023-01-16,ma_ownership,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
206,N012287,2023-01-16,2023-01-16,earnings,0.6666666666666666,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
207,N012288,2023-01-16,2023-01-16,earnings,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
208,N012289,2023-01-16,2023-01-16,ma_ownership,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
209,N012290,2023-01-16,2023-01-16,leadership,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
210,N012291,2023-01-16,2023-01-16,other,0.0,3,3,118,59,14348,12944,3,3,50,1342,6,5,20,252
211,N012292,2023-01-16,2023-01-16,ma_ownership,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
212,N012293,2023-01-16,2023-01-16,other,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
213,N012294,2023-01-16,2023-01-16,legal_regulatory,-0.3333333333333333,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
214,N012295,2023-01-16,2023-01-16,ma_ownership,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
215,N012296,2023-01-16,2023-01-16,other,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
216,N012297,2023-01-16,2023-01-16,other,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
217,N012298,2023-01-16,2023-01-16,ma_ownership,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
218,N012299,2023-01-16,2023-01-16,leadership,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
219,N012300,2023-01-16,2023-01-16,ma_ownership,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
220,N012301,2023-01-16,2023-01-16,ma_ownership,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
221,N012302,2023-01-16,2023-01-16,other,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
222,N012303,2023-01-16,2023-01-16,earnings,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
223,N012304,2023-01-16,2023-01-16,earnings,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
224,N012305,2023-01-16,2023-01-16,earnings,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
225,N012306,2023-01-16,2023-01-16,other,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
226,N012307,2023-01-16,2023-01-16,other,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
227,N012308,2023-01-16,2023-01-16,other,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
228,N012309,2023-01-16,2023-01-16,capital_issuance,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
229,N012310,2023-01-16,2023-01-16,dividend,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
230,N012311,2023-01-16,2023-01-16,other,0.0,1,1,118,59,14342,12944,3,3,50,1342,0,5,20,252
